Date,Open,High,Low,Close,Adj Close,Volume
2007-08-20,109.266663,109.333336,93.500000,97.233330,82.717270,276028
2007-08-27,98.666664,103.333336,96.666664,100.966667,85.893265,132661
2007-09-03,102.666664,105.866669,99.033333,102.900002,87.537964,352774
2007-09-10,102.000000,103.333336,98.733330,99.133331,84.333633,344744
2007-09-17,98.800003,102.666664,96.666664,98.199997,83.539627,379459
2007-09-24,98.266663,100.533333,96.333336,98.099998,83.454544,251858
2007-10-01,98.000000,101.166664,92.666664,93.633331,79.654732,537279
2007-10-08,95.666664,96.566666,87.933334,89.000000,75.713104,457362
2007-10-15,89.666664,90.000000,69.000000,80.433334,68.425377,493914
2007-10-22,82.000000,100.333336,76.066666,99.900002,84.985840,840623
2007-10-29,100.000000,101.333336,85.000000,87.800003,74.692253,533455
2007-11-05,86.666664,91.333336,85.333336,87.333336,74.295258,141410
2007-11-12,82.699997,91.333336,82.699997,86.500000,73.586342,418766
2007-11-19,88.666664,92.000000,83.766663,86.566666,73.643059,324576
2007-11-26,87.166664,87.333336,80.666664,83.233330,70.807343,194499
2007-12-03,82.000000,102.000000,82.000000,93.466667,79.512947,999578
2007-12-10,91.333336,98.800003,87.366669,97.733330,83.142632,369274
2007-12-17,96.766663,99.333336,91.733330,96.699997,82.263557,364796
2007-12-24,98.666664,107.199997,93.333336,96.233330,81.866570,478846
2007-12-31,97.300003,119.933334,96.699997,105.133331,89.437881,1901344
2008-01-07,108.266663,111.866669,88.866669,90.066666,76.620544,493752
2008-01-14,94.500000,100.000000,83.333336,83.333336,70.892410,425441
2008-01-21,80.066666,83.433334,58.066666,71.933334,61.194344,939991
2008-01-28,70.000000,73.333336,65.766663,68.133331,57.961651,860147
2008-02-04,67.400002,70.000000,62.000000,62.833332,53.452888,256575
2008-02-11,64.533333,64.533333,49.000000,49.333332,41.968315,1816651
2008-02-18,49.466667,64.866669,49.466667,57.066666,48.547131,1593769
2008-02-25,56.166664,75.866669,55.533333,73.699997,62.697273,4422575
2008-03-03,69.333336,75.666664,55.333332,56.633331,48.178482,918500
2008-03-10,54.866665,56.000000,47.433334,50.099998,42.620518,1208966
2008-03-17,48.733334,49.333332,40.099998,43.299999,36.835697,716406
2008-03-24,43.733334,47.666664,38.166664,44.433334,37.799843,1131790
2008-03-31,42.833332,45.333332,42.066666,43.133331,36.693916,489016
2008-04-07,42.666664,47.566666,41.500000,44.833332,38.140125,1078483
2008-04-14,44.833332,47.933334,43.333332,45.766666,38.934120,652373
